key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
"TAKAM TCHENDJOU G, 2021, ",Visual perceptual quality assessment based on blind machine learning techniques,Takam Tchendjou G;Simeu E,"SENSORS (BASEL, SWITZERLAND)",14248220,22,1,NA,2021,NLM (MEDLINE),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123651083&doi=10.3390%2fs22010175&partnerID=40&md5=b46baaf7974874a78f88b99bab2c1180,"This paper presents the construction of a new objective method for estimation of visual perceiving quality. The proposal provides an assessment of image quality without the need for a reference image or a specific distortion assumption. Two main processes have been used to build our models: the first one uses deep learning with a convolutional neural network process, without any preprocessing. The second objective visual quality is computed by pooling several image features extracted from different concepts: the natural scene statistic in the spatial domain, the gradient magnitude, the laplacian of gaussian, as well as the spectral and spatial entropies. The features extracted from the image file are used as the input of machine learning techniques to build the models that are used to estimate the visual quality level of any image. For the machine learning training phase, two main processes are proposed: the first proposed process consists of a direct learning using all the selected features in only one training phase, named direct learning blind visual quality assessment dlbqa. The second process is an indirect learning and consists of two training phases, named indirect learning blind visual quality assessment ilbqa. This second process includes an additional phase of construction of intermediary metrics used for the construction of the prediction model. The produced models are evaluated on many benchmarks image databases as tid2013, live, and live in the wild image quality challenge. The experimental results demonstrate that the proposed models produce the best visual perception quality prediction, compared to the state-of-the-art models. The proposed models have been implemented on an fpga platform to demonstrate the feasibility of integrating the proposed solution on an image sensor.",ENGLISH,10.3390/s22010175,factual database;  image processing;  machine learning;  normal distribution; databases; factual;  image processing; computer-assisted;  machine learning;  neural networks; computer;  normal distribution
"MA Y, 2021, ",Fine classification and mapping of mangroves in guangxi coastal zone based on spectral characteristics of gf images [基于高分影像光谱特征的广西海岸带红树林精细分类与制图],Ma Y;Wu P;Ren G,JOURNAL OF GEO-INFORMATION SCIENCE,15608999,23,12,2292-2304,2021,SCIENCE PRESS,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122795251&doi=10.12082%2fdqxxkx.2021.210494&partnerID=40&md5=baf06068f5b2f8f26b163539a9901c63,"Accurate understanding of mangrove species composition in coastal zone of china is helpful for mangrove resource investigation, protection, and utilization. In this paper, based on gf-2 multi-spectral images of guangxi coastal zone from 2018 to 2020, the vegetation index method and first-order differential method were used to reconstruct spectral characteristic data. Based on the reconstructed data, the support vector machine (svm) classification method was used to study the interspecific classification of mangroves in guangxi coastal zone. Taking maoweihai as an example, the validity of the reconstructed data for the identification of mangrove species was verified by comparing with the classification results using original data and the first-order differential method. The results show that the classification accuracy of the reconstructed data based on spectral features was the highest (91.55%) and the kappa coefficient was 0.8695, which was 6.92% higher than the classification accuracy using original data and 11.17% higher than the classification accuracy using first-order differential method. Based on this, mangrove species identification in guangxi coastal zone was further carried out using the spectral feature reconstruction data. Mangroves in guangxi can be divided into eight types, namely, aegiceras corniculatum, avicennia marina, rhizophora stylosa, sonneratia apetala, kandelia candel, bruguiera gymnorrhiza, acanthus ilicifolius, and a salt marsh herbaceous plant cyperus malaccensis. The total area of typical vegetation for all types of wetlands was 7402.98 hm2. The area of mangrove in fangchenggang city, qinzhou city, and beihai city was 1826.16 hm2, 2496.18 hm2, and 3080.47 hm2, respectively. The dominant species of mangrove in guangxi were aegiceras corniculatum and avicennia marina, with the largest distribution area of 3372.09 hm2 and 3445.17 hm2, respectively, accounting for 92.09% of the total area. Next came the cyperus malaccensis with an area of 287.50 hm2, accounting for 3.88% of the total area of the mangroves, followed by rhizophora stylosa and sonneratia apetala, with an area of 135.97 hm2 and 126.52 hm2, respectively, accounting for 3.55% of the total area of mangroves. The area of kandelia candel, bruguiera gymnorrhiza, and acanthus ilicifolius were all less than 20 hm2, which accounted for less than 1% of the total mangrove area. The total area of mangrove in beilun estuary, shankou, and maweihai sea mangrove nature reserves was 1009.21 hm2, 715.56 hm2 and 1546.62 hm2, respectively. In this paper, based on the spectral characteristic data reconstruction method using gf images, the fine classification of mangroves was investigated, providing technical and data support for the management, protection, and reconstruction of mangroves in guangxi. © 2021, science press. All right reserved.",CHINESE,10.12082/dqxxkx.2021.210494,coastal zones;  image reconstruction;  spectroscopy;  support vector machines;  vegetation;  wetlands; classification accuracy;  data reconstruction;  differential methods;  first-order differentials;  guangxi;  high resolution data;  interspecific classification;  mangrove;  mangrove species;  spectral characteristics; classification (of information); classification;  coastal zone;  mangrove;  mapping;  multispectral image;  reconstruction;  support vector machine; china;  guangxi zhuangzu
"LUO Y, 2021, ",Binocular vision calibration method based on growth blocked neural network [基于阻滞增长神经网络的双目视觉标定方法],Luo Y;Luo J,HUAZHONG KEJI DAXUE XUEBAO (ZIRAN KEXUE BAN)/JOURNAL OF HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (NATURAL SCIENCE EDITION),16714512,49,12,71-75,2021,HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121331716&doi=10.13245%2fj.hust.211213&partnerID=40&md5=8f52fb088bb4c759d671f73c3b6289d0,"Camera calibration is an important part of binocular vision system, which is of great significance to improve the accuracy of the system. Firstly, aiming at the problems of low accuracy of traditional calibration methods and the sensitivity of back-propagation (bp) neural network training results to initial weights and thresholds, a growth blocked neural network was constructed by employing the growth blocked mechanism simulating the dynamic balance of biological population size. The initial weights and thresholds of bp neural network were optimized by the growth blocked neural network, consequently the influence of the randomness of the initial weights and thresholds on the calculation results of the neural network was effectively eliminated. Secondly, a comparative experiment was designed to verify the superiority of the growth blocked neural network. Aiming at the problems of missing detection and false detection in traditional harris corner detection algorithm, an improved harris corner detection algorithm was proposed, which makes the calibration accuracy of binocular vision system meet the requirements of comparative experiments. Finally, the comparative experiments show that, compared with the often used bp neural network method, using growth blocked neural network for binocular vision system calibration has better convergence and solution accuracy. © 2021, editorial board of journal of huazhong university of science and technology. All right reserved.",CHINESE,10.13245/j.hust.211213,backpropagation;  calibration;  edge detection;  neural networks;  population statistics;  signal detection;  stereo image processing; back-propagation neural networks;  binocular vision calibration;  binocular vision systems;  comparative experiments;  gaussian pyramids;  growth blocked mechanism;  harris corner detection;  initial weights;  neural-networks;  vision calibrations; binocular vision
"CAN H, 2021, ",A fine-grained classification method based on self-attention siamese network,Can H;Guo Wu Y;Hao W,ACM INTERNATIONAL CONFERENCE PROCEEDING SERIES,NA,NA,NA,148-154,2021,ASSOCIATION FOR COMPUTING MACHINERY,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126562258&doi=10.1145%2f3511176.3511199&partnerID=40&md5=021db4608dbc886a71472037450649e9,"Compared with other fine-grained image classifications, the classification of wild snakes is more difficult and complicated. This is because snakes have different postures, move very fast, and are often coiled. Judging and classifying according to the local characteristics of snakes is difficult. To solve this problem, this paper applies the self-attention mechanism to fine-grained wild snake image classification, to solve the problem of convolutional neural networks that focus on the local part and ignore the global information due to the deepening of the number of layers. Use swin transformer for transfer learning to obtain a fine-grained feature extraction model. To further study the performance of the self-attention mechanism in the field of meta-learning, this paper improves the feature extraction model to build a siamese network and construct a classifier to learn and classify a small number of samples. Compared with other methods, this method reduces the time and space consumption caused by feature extraction, improves the accuracy and efficiency of meta-learning classification, and increases the autonomous learning of meta-learning. © 2021 acm.",ENGLISH,10.1145/3511176.3511199,classification (of information);  convolutional neural networks;  extraction;  feature extraction;  learning systems;  multilayer neural networks; attention mechanisms;  extraction modeling;  features extraction;  fine grained;  fine-grained classification;  images classification;  metalearning;  self-attention;  siamese network;  wild snake classification; image classification
"DABALOS JT, 2021, ",Identifying giant clams species using machine learning techniques,Dabalos Jt;Edullantes Cma;Buladaco Mvm;Gumanao Gs,ACM INTERNATIONAL CONFERENCE PROCEEDING SERIES,NA,NA,NA,51-55,2021,ASSOCIATION FOR COMPUTING MACHINERY,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127286202&doi=10.1145%2f3507971.3508013&partnerID=40&md5=f5350634fa44da8a1d14f0a5954f90ee,"Accurate species identification is essential in preserving biodiversity. Understanding how each species can be uniquely identified determines how we can shape essential conservation efforts. One of the challenging species to identify is the giant clams. Due to its uniquely colored mantles and sometimes similarities in other attributes like sizes, it is challenging to distinguish each taklobo species. A field expert is sometimes needed to identify each species correctly. The study aims to assess the possibility of automating the identification of the giant clams species (taklobo) by using machine learning techniques. Different image features extraction techniques such as scale-invariant feature transform (sift) and oriented fast and rotated brief (orb) were used to extract image descriptors, and color representations were used during experiments. Experimental results show that the artificial neural network (ann) with the rgb, ycbcr, hsv, cielab color representation gained the highest accuracy rate of 89.69%. © 2021 acm.",ENGLISH,10.1145/3507971.3508013,biodiversity;  conservation;  image processing;  learning algorithms;  molluscs;  neural networks; automated species identification;  color representation;  feature extraction techniques;  giant clam;  image feature extractions;  image-analysis;  machine learning techniques;  marine conservations;  scale invariant features;  species identification; machine learning
"LIU K, 2021, ",Tree species diversity mapping using uas-based digital aerial photogrammetry point clouds and multispectral imageries in a subtropical forest invaded by moso bamboo (phyllostachys edulis),Liu K;Wang A;Zhang S;Zhu Z;Bi Y;Wang Y;Du X,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,15698432,104,NA,NA,2021,ELSEVIER B.V.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121605443&doi=10.1016%2fj.jag.2021.102587&partnerID=40&md5=63149d735d94b0ea2c387d16547c5ad4,"Moso bamboo (phyllostachys edulis) tends to invade any surrounding forest areas due to its aggressive characteristics (fast growth and clonal reproduction), where it changes the species composition and canopy structure of the forests, and has negative effects on forest diversity and ecosystem functions. Unmanned aerial system (uas)-based remote sensing has the capacity to provide high-resolution, continuous spatial data that can be used to detect forest invasion dynamics. In this study, uas-based rgb and multispectral image data and digital aerial photogrammetric point cloud (ppc) were acquired and used to detect areas of bamboo invasion in a subtropical forest of southern china. First, a point cloud segmentation (pcs) method was applied for individual tree detection (itd) using photogrammetric point clouds (ppcs). A random forest (rf) classifier was used to perform tree species classification based on ppc metrics, vegetation indices, and texture metrics. Finally, based on the results of the itd and tree species classification, alpha-diversity (i.e., the species richness (s), shannon-wiener (h’), simpson (d), and pielou's evenness index(j)) and the spatial variation in species composition along the altitude gradient (beta-diversity) in the invaded forests were assessed. Results demonstrated that pcs worked well for tree detection in invaded forests (f1-score = 80.63%), and the overall accuracy of tree species classification was 75.69%, with a kappa accuracy of 73.76%. The forest diversity analysis showed that all alpha-diversity values were generally predicted well (r2 = 0.84–0.91, rmse = 0.05–0.84). The diversity showed a decreasing tendency with increasing bamboo invasion, and the predominantly broad-leaved invaded forests had higher diversity than the predominantly coniferous invaded forests. The human intervention had a significant impact on bamboo invasion. The anova of the dispersion of the dissimilarities along the elevation gradient showed significant differences in abundance-weighted similarity among the altitude classes (anova of the bray-curtis dissimilarity, f4,40 = 6.453, p = 0.0004***; anova of the jaccard dissimilarity, f4,40 = 5.20, p = 0.0017**). This study indicated the potential benefits of using uas- based remote sensing data to identify tree species and predict forest diversity in bamboo-invaded forests. Our results suggested that tree species diversity can be directly estimated using individual tree detection results based on ppc data instead of modelling the relationship between field-measured indices and remote sensing data-derived metrics, and revealed the influence of human intervention on bamboo invasion. © 2021 the authors",ENGLISH,10.1016/j.jag.2021.102587,bamboo;  biodiversity;  ecosystem function;  mapping;  photogrammetry;  remote sensing;  spatial variation;  tree; china
"HOLZNER A, 2021, ",Occupancy of wild southern pig-tailed macaques in intact and degraded forests in peninsular malaysia,Holzner A;Rayan Dm;Moore J;Tan Ckw;Clart L;Kulik L;Kühl H;Ruppert N;Widdig A,PEERJ,21678359,9,NA,NA,2021,PEERJ INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121869170&doi=10.7717%2fpeerj.12462&partnerID=40&md5=6588f883ee0196a3ba0b567c4debad07,"Deforestation is a major threat to terrestrial tropical ecosystems, particularly in southeast asia where human activities have dramatic consequences for the survival of many species. However, responses of species to anthropogenic impact are highly variable. In order to establish effective conservation strategies, it is critical to determine a species’ ability to persist in degraded habitats. Here, we used camera trapping data to provide the first insights into the temporal and spatial distribution of southern pig-tailed macaques (macaca nemestrina, listed as ‘vulnerable’ by the iucn) across intact and degraded forest habitats in peninsular malaysia, with a particular focus on the effects of clear-cutting and selective logging on macaque occupancy. Specifically, we found a 10% decline in macaque site occupancy in the highly degraded pasoh forest reserve from 2013 to 2017. This may be strongly linked to the macaques’ sensitivity to intensive disturbance through clear-cutting, which significantly increased the probability that m. Nemestrina became locally extinct at a previously occupied site. However, we found no clear relationship between moderate disturbance, i.e., selective logging, and the macaques’ local extinction probability or site occupancy in the pasoh forest reserve and belum-temengor forest complex. Further, an identical age and sex structure of macaques in selectively logged and completely undisturbed habitat types within the belum-temengor forest complex indicated that the macaques did not show increased mortality or declining birth rates when exposed to selective logging. Overall, this suggests that low to moderately disturbed forests may still constitute valuable habitats that support viable populations of m. Nemestrina, and thus need to be protected against further degradation. Our results emphasize the significance of population monitoring through camera trapping for understanding the ability of threatened species to cope with anthropogenic disturbance. This can inform species management plans and facilitate the development of effective conservation measures to protect biodiversity. © 2021 holzner et al.",ENGLISH,10.7717/peerj.12462,article;  biodiversity;  deforestation;  elaeis;  endangered species;  forest;  household;  international union for conservation of nature;  macaca fascicularis;  macaca nemestrina;  malaysia;  microclimate;  nonhuman;  pig;  plant community;  probability;  random forest;  species distribution;  water pollution;  wildlife
"PRIYMAK M, 2021, ",Real-time traffic classification through deep learning,Priymak M;Sinnott R,ACM INTERNATIONAL CONFERENCE PROCEEDING SERIES,NA,NA,NA,128-133,2021,ASSOCIATION FOR COMPUTING MACHINERY,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123982746&doi=10.1145%2f3492324.3494165&partnerID=40&md5=059298fbb8cb3dc7d6f9394ddec90771,"The increasing urbanization of the global population has drawn many researchers' attention to the field of intelligent transportation systems. Numerous hardware and software technologies have been developed to aid in monitoring and managing the flow of traffic on road networks. As digital cameras become increasingly cheaper and able to produce higher quality images, automated video-based traffic management systems can provide a low cost alternative to conventional (expensive) traffic monitoring systems. In this work we evaluate diverse state-of-the-art deep-learning-based vehicle recognition frameworks on datasets containing surveillance footage of heterogeneous and representative traffic data from melbourne's road network. We find that the yolov5 family of models offers the optimal balance between detection accuracy, model size, and real-time detection capability for resource-constrained traffic monitoring devices. © 2021 acm.",ENGLISH,10.1145/3492324.3494165,convolutional neural networks;  costs;  deep neural networks;  intelligent systems;  monitoring;  motor transportation;  traffic control; convolutional neural network;  deep learning;  global population;  hardware and software;  hardware technology;  intelligent transportation systems;  realtime traffic;  road network;  traffic classification;  vehicles detection; roads and streets
"CORREGIDOR-CASTRO A, 2021, ",Semi-automated counts on drone imagery of breeding seabirds using free accessible software,Corregidor-Castro A;Valle Rg,POLISH JOURNAL OF ECOLOGY,15052249,69,34,89-97,2021,POLISH ACADEMY OF SCIENCES,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131401641&doi=10.5253%2farde.v110i1.a7&partnerID=40&md5=18c29b1f87678becdc1aa12f86007ab2,"Long-term monitoring of breeding seabirds is fundamental for assessing the conservation status of their populations. Whereas traditional monitoring is often time consuming and has disadvantages, such as observer bias or disturbance to the breeding grounds, the use of uncrewed aerial vehicles (uavs or drones) has proven to be an efficient alternative by allowing non-invasive monitoring of inaccessible areas. Nonetheless, the use of drones for monitoring wild populations brings forth a new challenge, namely the handling of large amounts of data (images), usually negating the efficiency of the previous steps. Diverse methodologies have been developed to deal with this issue, but they usually involve the use of commercial software, that reduces the accessibility of users with limited resources. We tested if the popular free software imagej could compete in terms of efficiency (i.e. Accuracy and processing time) with other commercial software. We obtained similar values of agreement between manual and semiautomated total counts of individuals (99.1%), reducing the analysis duration fivefold. In addition, we propose a correction factor in the detection of incubating individuals based on the assessment of the individual behaviour of 10% of the birds present in each colony. Following this correction, we were able to estimate the total number of incubating birds with a 103.5% agreement with manual counts, reducing the time invested up to threefold. Thus, we show support for the use of free software (imagej) as a good low-cost alternative for users of drone imagery in assessing breeding birds and as a conservation tool. © 2021 polish academy of sciences. All rights reserved.",ENGLISH,10.5253/arde.v110i1.a7,biomonitoring;  breeding site;  imagery;  reproductive behavior;  seabird;  software;  unmanned vehicle;  wild population
"ZHANG H, 2021, ",Chinese white dolphin detection in the wild,Zhang H;Zhang Q;Nguyen Pa;Lee Vcs;Chan A,ACM INTERNATIONAL CONFERENCE PROCEEDING SERIES,NA,NA,NA,NA,2021,ASSOCIATION FOR COMPUTING MACHINERY,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123046352&doi=10.1145%2f3469877.3490574&partnerID=40&md5=693f30b0a2b0d0863bb5bf6fa00dda29,"For ecological protection of the ocean, biologists usually conduct line-transect vessel surveys to measure sea species' population density within their habitat (such as dolphins). However, sea species observation via vessel surveys consumes a lot of manpower resources and is more challenging compared to observing common objects, due to the scarcity of the object in the wild, tiny-size of the objects, and similar-sized distracter objects (e.g., floating trash). To reduce the human experts' workload and improve the observation accuracy, in this paper, we develop a practical system to detect chinese white dolphins in the wild automatically. First, we construct a dataset named dolphin-14k with more than 2.6k dolphin instances. To improve the dataset annotation efficiency caused by the rarity of dolphins, we design an interactive dolphin box annotation strategy to annotate sparse dolphin instances in long videos efficiently. Second, we compare the performance and efficiency of three off-the-shelf object detection algorithms, including faster-rcnn, fcos, and yolov5, on the dolphin-14k dataset and pick yolov5 as the detector, where a new category (distracter) is added to the model training to reject the false positives. Finally, we incorporate the dolphin detector into a system prototype, which detects dolphins in video frames at 100.99 fps per gpu with high accuracy (i.e., 90.95 map@0.5). © 2021 acm.",ENGLISH,10.1145/3469877.3490574,dolphins (structures);  efficiency;  object detection;  surveys; dataset;  detection system;  distracter;  dolphin detection;  ecological protection;  human expert;  manpower resources;  neural-networks;  performance;  practical systems; population statistics
